yahoo_ticker,set_symbols,membership_periods,requested_start,requested_end,requested_end_exclusive,actual_first_date,actual_last_date,rows,status,depth_status,request_mode,validation_status,coverage_issues,validation_issues,error,output_file
MINT.BK,MINT,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.72%),,data\pilot\historical_depth_experiment\MINT_BK.csv
MRDIYT.BK,MRDIYT,2026_H2,2016-01-01,2026-09-19,2026-09-20,2025-11-05,2026-09-18,218,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2025-11-05 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\MRDIYT_BK.csv
MTC.BK,MTC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\MTC_BK.csv
OR.BK,OR,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2021-02-11,2026-09-18,1362,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2021-02-11 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.10 (0.44%); Low above Open/Close by 0.10 (0.45%),,data\pilot\historical_depth_experiment\OR_BK.csv
OSP.BK,OSP,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2018-10-17,2026-09-18,1927,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2018-10-17 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\OSP_BK.csv
PTT.BK,PTT,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.52%); Low above Open/Close by 0.25 (0.79%),,data\pilot\historical_depth_experiment\PTT_BK.csv
PTTEP.BK,PTTEP,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 2.50 (2.02%); Low above Open/Close by 0.50 (0.34%),,data\pilot\historical_depth_experiment\PTTEP_BK.csv
PTTGC.BK,PTTGC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\PTTGC_BK.csv
RATCH.BK,RATCH,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\RATCH_BK.csv
SAWAD.BK,SAWAD,"2023_H1,2023_H2,2024_H1,2025_H1,2026_H1",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.21 (0.43%); Low above Open/Close by 0.62 (1.19%),,data\pilot\historical_depth_experiment\SAWAD_BK.csv
SCB.BK,SCB,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2022-04-20,2026-09-18,1074,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2022-04-20 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.50 (0.50%),,data\pilot\historical_depth_experiment\SCB_BK.csv
SCC.BK,SCC,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 2.00 (0.59%); Low above Open/Close by 1.00 (0.31%),,data\pilot\historical_depth_experiment\SCC_BK.csv
SCGP.BK,SCGP,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2020-10-22,2026-09-18,1436,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2020-10-22 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\SCGP_BK.csv
