design,year,month,side,reason_class,price_bucket,notional_bucket,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
A,2023,2023-11,SELL,NORMAL_STRATEGY,25-50,Q4,6,5656877.75,37134.25,6189.041666666667,5526.0,9502.988932225,46637.238932225,65.64442726378522
A,2023,2023-11,SELL,NORMAL_STRATEGY,50-100,Q2,1,66033.0,319.0,319.0,319.0,110.92883669999999,429.9288367,48.30917874396135
A,2023,2023-12,BUY,NORMAL_STRATEGY,5-10,Q3,1,383907.5952140808,2509.2,2509.2,2509.2,644.9263692001344,3154.1263692001344,65.35947793897587
A,2023,2023-12,BUY,NORMAL_STRATEGY,10-25,Q4,1,828756.3735443115,3467.6,3467.6,3467.6,1392.227831917089,4859.827831917089,41.8410055197554
A,2023,2023-12,BUY,NORMAL_STRATEGY,25-50,Q3,4,1644578.0,12824.0,3206.0,3295.25,2762.7265822,15586.7265822,77.97745075028367
A,2023,2023-12,BUY,NORMAL_STRATEGY,25-50,Q4,7,6669010.0,48865.5,6980.785714285715,6023.0,11203.269898999999,60068.769899,73.27249471810659
A,2023,2023-12,BUY,NORMAL_STRATEGY,50-100,Q3,1,297445.0,1472.5,1472.5,1472.5,499.6778555,1972.1778555,49.504950495049506
A,2023,2023-12,SELL,NORMAL_STRATEGY,5-10,Q2,2,342123.35,2190.65,1095.325,1095.325,574.733015665,2765.383015665,64.03099934570383
A,2023,2023-12,SELL,NORMAL_STRATEGY,10-25,Q3,2,1314455.8148839949,10021.2,5010.6,5010.6,2208.154323423623,12229.354323423624,76.23839376361543
A,2023,2023-12,SELL,NORMAL_STRATEGY,10-25,Q4,1,914048.4,3746.1,3746.1,3746.1,1535.50990716,5281.60990716,40.98360655737705
A,2023,2023-12,SELL,NORMAL_STRATEGY,25-50,Q2,4,647224.25,4995.0,1248.75,1136.5,1087.272017575,6082.272017575,77.17572387004968
A,2023,2023-12,SELL,NORMAL_STRATEGY,25-50,Q3,2,1073829.75,9272.5,4636.25,4636.25,1803.9265970249999,11076.426597025,86.34981476346692
A,2023,2023-12,SELL,NORMAL_STRATEGY,25-50,Q4,6,5387286.75,36941.25,6156.875,5746.125,9050.103011325,45991.353011325,68.57115968441813
A,2023,2023-12,SELL,NORMAL_STRATEGY,50-100,Q2,2,199916.5,938.5,469.25,469.25,335.83972835,1274.33972835,46.94459937023708
A,2024,2024-01,BUY,NORMAL_STRATEGY,10-25,Q3,3,1984382.1190193174,9432.3,3144.1,3086.4,3333.5635217405516,12765.863521740552,47.53267986843908
A,2024,2024-01,BUY,NORMAL_STRATEGY,10-25,Q4,1,1842249.8358207704,8412.1,8412.1,8412.1,3094.7954991953115,11506.895499195312,45.66210204737074
A,2024,2024-01,BUY,NORMAL_STRATEGY,25-50,Q3,2,1277339.0,9173.75,4586.875,4586.875,2145.8017861,11319.5517861,71.81922731553644
A,2024,2024-01,BUY,NORMAL_STRATEGY,25-50,Q4,1,6257440.0,55870.0,55870.0,55870.0,10511.873456,66381.873456,89.28571428571428
A,2024,2024-01,SELL,NORMAL_STRATEGY,5-10,Q2,2,177044.8978954315,1099.65,549.825,549.825,297.4177239745354,1397.0677239745355,62.1113634491455
A,2024,2024-01,SELL,NORMAL_STRATEGY,5-10,Q3,1,635536.0077209473,4048.0,4048.0,4048.0,1067.6369393704192,5115.636939370419,63.69426674211992
A,2024,2024-01,SELL,NORMAL_STRATEGY,10-25,Q3,2,1217226.3832431794,6016.4,3008.2,3008.2,2044.8186012102165,8061.218601210217,49.42712450883537
A,2024,2024-01,SELL,NORMAL_STRATEGY,10-25,Q4,1,3104935.3096702574,14374.7,14374.7,14374.7,5215.980826715066,19590.680826715066,46.29629466105233
A,2024,2024-01,SELL,NORMAL_STRATEGY,25-50,Q2,11,1026635.5,8208.25,746.2045454545455,668.25,1724.64497645,9932.89497645,79.95291415502386
A,2024,2024-01,SELL,NORMAL_STRATEGY,25-50,Q3,2,1234860.0,9636.0,4818.0,4818.0,2074.4413139999997,11710.441314,78.0331373597007
A,2024,2024-01,SELL,NORMAL_STRATEGY,25-50,Q4,3,3168406.0,25363.25,8454.416666666666,7026.0,5322.6052394,30685.8552394,80.05050489110297
