symbol,feature,horizon_days,sample_size,pearson,spearman,true_mean,false_mean
COM7,momentum_120,20,634,-0.1806280027846496,-0.1658287293326661,,
COM7,close_gt_sma20,1,754,0.057463434353208026,0.037431688767473784,0.001794785202336706,-0.0012826128570851442
COM7,close_gt_sma20,3,754,0.09859392813513902,0.08791151886951018,0.0051506023472355,-0.003840294235485028
COM7,close_gt_sma20,5,754,0.09539160514309045,0.09642958877371628,0.006685166818360322,-0.004730277577023501
COM7,close_gt_sma20,10,754,0.03724014922536397,0.0753690577865609,0.004775428976825468,-0.0015636303605852434
COM7,close_gt_sma20,20,754,-0.05235760570749688,-0.029030114533694317,-0.003081994583210117,0.009539119514254948
COM7,close_gt_sma50,1,754,0.024232155273283842,0.004520512758264927,0.0008677525950739208,-0.0004343675727018865
COM7,close_gt_sma50,3,754,0.011579810609945854,0.0356624637597433,0.0009205883338686628,-0.0001389610760368349
COM7,close_gt_sma50,5,754,-0.013982066975289382,0.02276680391109014,-0.0003620659389677779,0.0013168191406741445
COM7,close_gt_sma50,10,754,-0.07069380298191281,-0.029270074132859068,-0.005314801835808976,0.006759490174747111
COM7,close_gt_sma50,20,754,-0.13583110467591417,-0.109139314196378,-0.014532803228155797,0.018320880536592834
COM7,sma20_gt_sma50,1,754,-0.025763751787556525,-0.007251280073724965,-0.0006642300483619542,0.0007303559859311103
COM7,sma20_gt_sma50,3,754,-0.04288044580352661,-0.014315380441061903,-0.0019627329988050474,0.0019896246073490146
COM7,sma20_gt_sma50,5,754,-0.049829388846337835,-0.018914041928320593,-0.002932516566318058,0.003094638082797089
COM7,sma20_gt_sma50,10,754,-0.06387190591000438,-0.037907510405895975,-0.005004762135171878,0.005984471029513221
COM7,sma20_gt_sma50,20,754,-0.10215674313296866,-0.06276590692160594,-0.010778273700150118,0.014111964997449536
COM7,volatility_20,1,734,-0.017897626890915102,-0.004637463309028613,,
COM7,volatility_20,3,734,-0.03986798939329593,0.040675837744637545,,
COM7,volatility_20,5,734,-0.04604864861080461,0.05887010930853404,,
COM7,volatility_20,10,734,-0.05276897963037143,0.08625030853684648,,
COM7,volatility_20,20,734,-0.05665030157502128,0.10093593118086804,,
COM7,volume_ratio_20,1,735,0.13670777800915046,0.05009154615913965,,
COM7,volume_ratio_20,3,735,0.05598967766198428,0.045971487768633655,,
COM7,volume_ratio_20,5,735,0.061120318077799794,0.08600177736460435,,
COM7,volume_ratio_20,10,735,0.06281615301009072,0.10050450262575723,,
COM7,volume_ratio_20,20,735,0.09768584995055303,0.09276605861583052,,
GLOBAL,momentum_20,1,565,0.01600820343591106,-0.014003902678382642,,
GLOBAL,momentum_20,3,565,0.046431211204043595,-0.008890862179968848,,
GLOBAL,momentum_20,5,565,0.07603944992546137,0.028189311817297894,,
GLOBAL,momentum_20,10,565,0.12385129460560777,0.05947110657827352,,
GLOBAL,momentum_20,20,565,0.16165864585494732,0.0259186130308131,,
GLOBAL,momentum_60,1,525,0.0372953465394988,-0.023594814001226684,,
GLOBAL,momentum_60,3,525,0.08069914550305783,0.020969746170621997,,
GLOBAL,momentum_60,5,525,0.10599270788048033,0.03945733917949119,,
GLOBAL,momentum_60,10,525,0.15021931594169172,0.04812086447841742,,
GLOBAL,momentum_60,20,525,0.25579210110012535,0.11162223596655863,,
GLOBAL,momentum_120,1,465,0.02832472764337639,-0.04795969823406751,,
GLOBAL,momentum_120,3,465,0.0609081058095107,-0.051351016611161204,,
GLOBAL,momentum_120,5,465,0.08354615426900264,-0.04262791887101626,,
GLOBAL,momentum_120,10,465,0.12946781585892433,-0.07131723429001287,,
GLOBAL,momentum_120,20,465,0.23209004010859613,-0.00600196764518156,,
GLOBAL,close_gt_sma20,1,585,0.08054757764992149,0.06469669061778237,0.0003234267282022519,-0.0034215735358561978
GLOBAL,close_gt_sma20,3,585,0.10814580744915385,0.09929030114762467,-0.0007539228113333465,-0.009218028847535182
GLOBAL,close_gt_sma20,5,585,0.08348765509250754,0.1067051454098826,-0.004756858295667407,-0.01338329831796984
GLOBAL,close_gt_sma20,10,585,0.053623801753981674,0.06963066790037588,-0.014729998259955293,-0.02284303743534391
GLOBAL,close_gt_sma20,20,585,0.06649916194433865,0.03812281395094453,-0.03037770490457113,-0.04444946964254874
GLOBAL,close_gt_sma50,1,585,0.018278603954068554,0.0006105087255840748,-0.0013619913632987536,-0.0022399254975328698
GLOBAL,close_gt_sma50,3,585,0.052781873487497535,0.031426274027374836,-0.0030526622709508675,-0.007320184113171024
GLOBAL,close_gt_sma50,5,585,0.07028667371706739,0.053815976681640135,-0.005013815306469457,-0.012516244031471684
GLOBAL,close_gt_sma50,10,585,0.048278421944404605,0.03466624856171635,-0.01464766727892678,-0.022193350720759467
GLOBAL,close_gt_sma50,20,585,0.02500331773900351,-0.006834733212370577,-0.03527712435202528,-0.04074287200185318
GLOBAL,sma20_gt_sma50,1,585,-0.0037363067124523692,-0.02147529720953674,-0.0020732874000138437,-0.0018875266420339781
GLOBAL,sma20_gt_sma50,3,585,-0.014089458652309707,-0.05304278593388973,-0.006704237248711849,-0.005525063504062278
GLOBAL,sma20_gt_sma50,5,585,-0.010703087996276835,-0.04667099186074769,-0.010807798711592901,-0.009625218722733161
