symbol,side,status,reason,signal_date,execution_date,quantity,requested_price,executed_price,commission,vat,total_fees,slippage,cash_before,cash_after,position_before,position_after
COM7,SELL,FILLED,EXIT_CONFIRMED,2023-08-03 00:00:00,2023-08-04 00:00:00,35028,27.25,27.25,1498.5854100,104.900978700,1603.486388700,8757.00,631555.532721566553323018214,1584465.046332866553323018214,35028,0
GLOBAL,BUY,FILLED,ENTRY_CONFIRMED,2023-08-03 00:00:00,2023-08-04 00:00:00,66507,15.010714149475098,15.010714149475098,1567.35857852445033801702,109.7151004967115236611914,1677.0736790211618616782114,6650.700000000000000,1584465.046332866553323018214,584470.4067147050487753400026,0,66507
LH,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
PTTGC,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
HMPRO,SELL,FILLED,EXIT_CONFIRMED,2023-08-04 00:00:00,2023-08-07 00:00:00,70803,13.700000190734863,13.700000190734863,1522.90174820222279283273,106.6031223741555954982911,1629.5048705763783883310211,7080.300000000000000,584470.4067147050487753400026,1552842.015348729175376008982,70803,0
LH,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
PTTGC,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
LH,SELL,FILLED,EXIT_CONFIRMED,2023-08-07 00:00:00,2023-08-08 00:00:00,117449,8.399999809265137,8.399999809265137,1548.91737682945828855541,108.4242163780620801988787,1657.3415932075203687542887,5872.450000000000000,1552842.015348729175376008982,2537756.251353902730520254693,117449,0
PTTGC,BUY,FILLED,ENTRY_CONFIRMED,2023-08-07 00:00:00,2023-08-08 00:00:00,25115,39.75,39.75,1567.3643625,109.715505375,1677.079867875,6278.75,2537756.251353902730520254693,1537757.921486027730520254693,0,25115
COM7,BUY,FILLED,ENTRY_CONFIRMED,2023-08-10 00:00:00,2023-08-11 00:00:00,34724,28.75,28.75,1567.3545500,109.714818500,1677.069368500,8681.00,1537757.921486027730520254693,537765.852117527730520254693,0,34724
MTC,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
OSP,BUY,NON_FILL,INSUFFICIENT_CASH,,,,,,,,,,,,,
BGRIM,SELL,FILLED,EXIT_CONFIRMED,2023-08-11 00:00:00,2023-08-15 00:00:00,27539,36.50,36.50,1578.1223950,110.468567650,1688.590962650,6884.75,537765.852117527730520254693,1541250.761154877730520254693,27539,0
