date,equity,positions,cash
2025-07-25,,4,950873.6218597764596112239479
2025-07-29,,4,950873.6218597764596112239479
2025-07-30,,4,950873.6218597764596112239479
2025-07-31,,4,950873.6218597764596112239479
2025-08-01,,4,950873.6218597764596112239479
2025-08-04,,4,950873.6218597764596112239479
2025-08-05,,4,950873.6218597764596112239479
2025-08-06,,4,950873.6218597764596112239479
2025-08-07,,4,950873.6218597764596112239479
2025-08-08,,4,950873.6218597764596112239479
2025-08-13,,4,950873.6218597764596112239479
2025-08-14,,4,950873.6218597764596112239479
2025-08-15,,4,950873.6218597764596112239479
2025-08-18,,4,995949.133559981327678640597
2025-08-19,,4,1078841.271315934416045682978
2025-08-20,,5,78884.260743934416045682978
2025-08-21,,5,78884.260743934416045682978
2025-08-22,,5,78884.260743934416045682978
2025-08-25,,5,78884.260743934416045682978
2025-08-26,,5,78884.260743934416045682978
2025-08-27,,5,78884.260743934416045682978
2025-08-28,,5,78884.260743934416045682978
2025-08-29,,5,78884.260743934416045682978
2025-09-01,,5,78884.260743934416045682978
2025-09-02,,5,64898.781000859416045682978
2025-09-03,,5,64898.781000859416045682978
2025-09-04,,5,64898.781000859416045682978
2025-09-05,,5,64898.781000859416045682978
2025-09-08,,5,64898.781000859416045682978
2025-09-09,,5,64898.781000859416045682978
2025-09-10,,5,286020.4312802451155534848435
2025-09-11,,5,286020.4312802451155534848435
2025-09-12,,5,286020.4312802451155534848435
2025-09-15,,5,286020.4312802451155534848435
2025-09-16,,5,286020.4312802451155534848435
2025-09-17,,5,286020.4312802451155534848435
2025-09-18,,5,286020.4312802451155534848435
2025-09-19,,5,308763.737050870115553484844
2025-09-22,,5,308763.737050870115553484844
2025-09-23,,5,308763.737050870115553484844
2025-09-24,,5,308763.737050870115553484844
2025-09-25,,4,1253963.486374013707443885752
2025-09-26,,5,253963.955781639456917682032
2025-09-29,,5,240739.5971012180630952215798
2025-09-30,,3,2245713.054141016834124849412
2025-10-01,,4,1245713.973013216834124849412
2025-10-02,,4,1245713.973013216834124849412
2025-10-03,,4,1245713.973013216834124849412
2025-10-06,,4,1245713.973013216834124849412
2025-10-07,,4,1245713.973013216834124849412
2025-10-08,,3,2190709.583829041565894948862
2025-10-09,,2,3178083.831419165320968745142
2025-10-10,,4,1178117.973340340320968745142
2025-10-14,,5,178130.9480222553351167128970
2025-10-15,,5,178130.9480222553351167128970
2025-10-16,,5,178130.9480222553351167128970
2025-10-17,,5,178130.9480222553351167128970
2025-10-20,,5,178130.9480222553351167128970
2025-10-21,,5,178130.9480222553351167128970
2025-10-22,,5,178130.9480222553351167128970
2025-10-24,,5,174795.066424830335116712897
2025-10-27,,5,174795.066424830335116712897
2025-10-28,,5,174795.066424830335116712897
2025-10-29,,5,174795.066424830335116712897
2025-10-30,,5,174795.066424830335116712897
2025-10-31,,5,174795.066424830335116712897
2025-11-03,,5,174795.066424830335116712897
2025-11-04,,5,174795.066424830335116712897
2025-11-05,,4,1110220.001804730335116712897
2025-11-06,,4,1110220.001804730335116712897
2025-11-07,,3,2083567.124503230335116712897
2025-11-10,,4,1083587.576133480335116712897
2025-11-11,,4,1083587.576133480335116712897
2025-11-12,,4,1083587.576133480335116712897
2025-11-13,,5,83599.012644630335116712897
2025-11-14,,5,83599.012644630335116712897
2025-11-17,,4,1112778.933995805335116712897
2025-11-18,,4,1112778.933995805335116712897
2025-11-19,,4,1112778.933995805335116712897
2025-11-20,,4,1112778.933995805335116712897
2025-11-21,,4,1112778.933995805335116712897
2025-11-24,,4,1112778.933995805335116712897
2025-11-25,,4,1112778.933995805335116712897
2025-11-26,,3,2100262.269310305335116712897
2025-11-27,,3,2100262.269310305335116712897
2025-11-28,,2,3035460.336447480335116712897
2025-12-01,,3,2035471.272118680335116712897
2025-12-02,,5,35500.435856511872198545234
2025-12-03,,5,35500.435856511872198545234
2025-12-04,,5,35500.435856511872198545234
2025-12-08,,5,35500.435856511872198545234
2025-12-09,,4,1011364.303725913632017327296
2025-12-11,,5,11389.262915713632017327296
2025-12-12,,5,11389.262915713632017327296
2025-12-15,,5,11389.262915713632017327296
2025-12-16,,5,11389.262915713632017327296
